,month,us_oil_consumption
540,2008-01-15,20247.0
541,2008-02-15,20029.0
542,2008-03-15,19831.0
543,2008-04-15,19815.0
544,2008-05-15,19798.0
545,2008-06-15,19678.0
546,2008-07-15,19557.0
547,2008-08-15,19272.0
548,2008-09-15,17839.0
549,2008-10-15,19698.0
550,2008-11-15,19052.0
551,2008-12-15,19142.0
552,2009-01-15,19040.0
553,2009-02-15,18822.0
554,2009-03-15,18719.0
555,2009-04-15,18672.0
556,2009-05-15,18211.0
557,2009-06-15,18828.0
558,2009-07-15,18626.0
559,2009-08-15,18949.0
560,2009-09-15,18594.0
561,2009-10-15,18803.0
562,2009-11-15,18753.0
563,2009-12-15,19237.0
564,2010-01-15,18649.0
565,2010-02-15,18831.0
566,2010-03-15,19080.0
567,2010-04-15,19066.0
568,2010-05-15,18874.0
569,2010-06-15,19562.0
570,2010-07-15,19291.0
571,2010-08-15,19663.0
572,2010-09-15,19465.0
573,2010-10-15,18928.0
574,2010-11-15,18965.0
575,2010-12-15,19733.0
576,2011-01-15,18934.0
577,2011-02-15,18817.0
578,2011-03-15,19189.0
579,2011-04-15,18582.0
580,2011-05-15,18429.0
581,2011-06-15,19187.0
582,2011-07-15,18710.0
583,2011-08-15,19363.0
584,2011-09-15,18887.0
585,2011-10-15,18817.0
586,2011-11-15,19059.0
587,2011-12-15,18769.0
588,2012-01-15,18299.0
589,2012-02-15,18622.0
590,2012-03-15,18130.0
591,2012-04-15,18163.0
592,2012-05-15,18575.0
593,2012-06-15,18873.0
594,2012-07-15,18540.0
595,2012-08-15,19140.0
596,2012-09-15,18081.0
597,2012-10-15,18708.0
598,2012-11-15,18528.0
599,2012-12-15,18130.0
600,2013-01-15,18736.0
601,2013-02-15,18654.0
602,2013-03-15,18547.0
603,2013-04-15,18594.0
604,2013-05-15,18733.0
605,2013-06-15,18816.0
606,2013-07-15,19260.0
607,2013-08-15,19140.0
608,2013-09-15,19282.0
609,2013-10-15,19323.0
610,2013-11-15,19488.0
611,2013-12-15,19006.0
612,2014-01-15,19103.0
613,2014-02-15,18905.0
614,2014-03-15,18452.0
615,2014-04-15,18834.0
616,2014-05-15,18601.0
617,2014-06-15,18878.0
618,2014-07-15,19247.0
619,2014-08-15,19372.0
620,2014-09-15,19204.0
621,2014-10-15,19701.0
622,2014-11-15,19394.0
623,2014-12-15,19494.0
624,2015-01-15,19273.0
625,2015-02-15,19674.0
626,2015-03-15,19349.0
627,2015-04-15,19261.0
628,2015-05-15,19322.0
629,2015-06-15,19846.0
630,2015-07-15,20119.0
631,2015-08-15,19927.0
632,2015-09-15,19436.0
633,2015-10-15,19470.0
634,2015-11-15,19105.0
635,2015-12-15,19596.0
636,2016-01-15,19063.0
637,2016-02-15,19841.0
638,2016-03-15,19753.0
639,2016-04-15,19346.0
640,2016-05-15,19326.0
641,2016-06-15,19832.0
642,2016-07-15,19754.0
643,2016-08-15,20262.0
644,2016-09-15,19775.0
645,2016-10-15,19684.0
646,2016-11-15,19686.0
647,2016-12-15,19986.0
648,2017-01-15,19290.0
649,2017-02-15,19146.0
650,2017-03-15,20057.0
651,2017-04-15,19621.0
652,2017-05-15,20047.0
653,2017-06-15,20565.0
654,2017-07-15,20125.0
655,2017-08-15,20274.0
656,2017-09-15,19629.0
657,2017-10-15,19971.0
658,2017-11-15,20310.0
659,2017-12-15,20319.0
660,2018-01-15,20564.0
661,2018-02-15,19693.0
662,2018-03-15,20731.0
663,2018-04-15,20038.0
664,2018-05-15,20251.0
665,2018-06-15,20770.0
666,2018-07-15,20671.0
667,2018-08-15,21356.0
668,2018-09-15,20084.0
669,2018-10-15,20786.0
670,2018-11-15,20774.0
671,2018-12-15,20327.0
672,2019-01-15,20615.0
673,2019-02-15,20284.0
674,2019-03-15,20176.0
675,2019-04-15,20333.0
676,2019-05-15,20387.0
677,2019-06-15,20654.0
678,2019-07-15,20735.0
679,2019-08-15,21158.0
680,2019-09-15,20248.0
681,2019-10-15,20714.0
682,2019-11-15,20736.0
683,2019-12-15,20443.0
684,2020-01-15,19933.0
685,2020-02-15,20132.0
686,2020-03-15,18463.0
687,2020-04-15,14549.0
688,2020-05-15,16078.0
689,2020-06-15,17578.0
690,2020-07-15,18381.0
691,2020-08-15,18558.0
692,2020-09-15,18415.0
693,2020-10-15,18614.0
694,2020-11-15,18743.0
695,2020-12-15,18802.0
696,2021-01-15,18595.0
697,2021-02-15,17444.0
698,2021-03-15,19204.0
699,2021-04-15,19459.0
700,2021-05-15,20094.0
701,2021-06-15,20537.0
702,2021-07-15,19894.0
703,2021-08-15,20511.0
704,2021-09-15,20224.0
705,2021-10-15,19892.0
706,2021-11-15,20595.0
707,2021-12-15,20764.0
708,2022-01-15,19731.0
709,2022-02-15,20436.0
710,2022-03-15,20512.0
711,2022-04-15,19957.0
