,month,us_prod
1056,2008-01-15,1585.66
1057,2008-02-15,1492.97
1058,2008-03-15,1608.68
1059,2008-04-15,1554.03
1060,2008-05-15,1594.37
1061,2008-06-15,1541.33
1062,2008-07-15,1604.81
1063,2008-08-15,1550.92
1064,2008-09-15,1192.08
1065,2008-10-15,1468.68
1066,2008-11-15,1523.43
1067,2008-12-15,1581.83
1068,2009-01-15,1594.67
1069,2009-02-15,1466.98
1070,2009-03-15,1617.76
1071,2009-04-15,1583.44
1072,2009-05-15,1666.84
1073,2009-06-15,1580.79
1074,2009-07-15,1673.36
1075,2009-08-15,1679.45
1076,2009-09-15,1667.65
1077,2009-10-15,1712.58
1078,2009-11-15,1618.38
1079,2009-12-15,1690.04
1080,2010-01-15,1675.29
1081,2010-02-15,1554.96
1082,2010-03-15,1709.76
1083,2010-04-15,1617.69
1084,2010-05-15,1674.27
1085,2010-06-15,1613.85
1086,2010-07-15,1642.34
1087,2010-08-15,1688.67
1088,2010-09-15,1684.73
1089,2010-10-15,1745.47
1090,2010-11-15,1672.72
1091,2010-12-15,1738.31
1092,2011-01-15,1703.93
1093,2011-02-15,1513.54
1094,2011-03-15,1741.58
1095,2011-04-15,1668.58
1096,2011-05-15,1743.63
1097,2011-06-15,1676.73
1098,2011-07-15,1686.35
1099,2011-08-15,1756.18
1100,2011-09-15,1684.11
1101,2011-10-15,1829.77
1102,2011-11-15,1811.57
1103,2011-12-15,1894.87
1104,2012-01-15,1914.39
1105,2012-02-15,1817.59
1106,2012-03-15,1961.16
1107,2012-04-15,1895.9
1108,2012-05-15,1974.41
1109,2012-06-15,1882.55
1110,2012-07-15,1993.61
1111,2012-08-15,1968.54
1112,2012-09-15,1979.23
1113,2012-10-15,2160.41
1114,2012-11-15,2124.24
1115,2012-12-15,2202.59
1116,2013-01-15,2195.9
1117,2013-02-15,2003.76
1118,2013-03-15,2236.74
1119,2013-04-15,2212.61
1120,2013-05-15,2271.52
1121,2013-06-15,2183.81
1122,2013-07-15,2332.38
1123,2013-08-15,2336.09
1124,2013-09-15,2351.83
1125,2013-10-15,2405.94
1126,2013-11-15,2376.02
1127,2013-12-15,2459.47
1128,2014-01-15,2504.25
1129,2014-02-15,2284.01
1130,2014-03-15,2572.2
1131,2014-04-15,2557.95
1132,2014-05-15,2679.96
1133,2014-06-15,2622.88
1134,2014-07-15,2741.31
1135,2014-08-15,2768.13
1136,2014-09-15,2725.71
1137,2014-10-15,2871.93
1138,2014-11-15,2797.93
1139,2014-12-15,2964.8
1140,2015-01-15,2908.56
1141,2015-02-15,2661.15
1142,2015-03-15,2970.4
1143,2015-04-15,2897.35
1144,2015-05-15,2936.83
1145,2015-06-15,2807.47
1146,2015-07-15,2928.13
1147,2015-08-15,2916.91
1148,2015-09-15,2843.98
1149,2015-10-15,2914.1
1150,2015-11-15,2799.75
1151,2015-12-15,2875.28
1152,2016-01-15,2852.45
1153,2016-02-15,2628.41
1154,2016-03-15,2817.16
1155,2016-04-15,2661.22
1156,2016-05-15,2737.81
1157,2016-06-15,2601.63
1158,2016-07-15,2684.7
1159,2016-08-15,2693.31
1160,2016-09-15,2562.49
1161,2016-10-15,2728.6
1162,2016-11-15,2670.35
1163,2016-12-15,2732.44
1164,2017-01-15,2750.58
1165,2017-02-15,2550.59
1166,2017-03-15,2842.08
1167,2017-04-15,2730.9
1168,2017-05-15,2847.18
1169,2017-06-15,2733.09
1170,2017-07-15,2866.35
1171,2017-08-15,2865.96
1172,2017-09-15,2854.87
1173,2017-10-15,2994.29
1174,2017-11-15,3023.1
1175,2017-12-15,3093.59
1176,2018-01-15,3098.81
1177,2018-02-15,2877.27
1178,2018-03-15,3242.96
1179,2018-04-15,3148.03
1180,2018-05-15,3231.59
1181,2018-06-15,3188.37
1182,2018-07-15,3375.4
1183,2018-08-15,3525.75
1184,2018-09-15,3426.6
1185,2018-10-15,3561.38
1186,2018-11-15,3560.28
1187,2018-12-15,3696.44
1188,2019-01-15,3672.86
1189,2019-02-15,3262.72
1190,2019-03-15,3688.67
1191,2019-04-15,3637.37
1192,2019-05-15,3763.62
1193,2019-06-15,3653.66
1194,2019-07-15,3687.65
1195,2019-08-15,3867.25
1196,2019-09-15,3771.69
1197,2019-10-15,3959.0
1198,2019-11-15,3889.84
1199,2019-12-15,4002.19
1200,2020-01-15,3963.29
1201,2020-02-15,3719.49
1202,2020-03-15,3972.98
1203,2020-04-15,3573.44
1204,2020-05-15,3010.45
1205,2020-06-15,3125.93
1206,2020-07-15,3396.51
1207,2020-08-15,3272.85
1208,2020-09-15,3260.42
1209,2020-10-15,3228.16
1210,2020-11-15,3336.21
1211,2020-12-15,3435.91
1212,2021-01-15,3427.47
1213,2021-02-15,2736.46
1214,2021-03-15,3459.46
1215,2021-04-15,3369.05
1216,2021-05-15,3513.46
1217,2021-06-15,3386.45
1218,2021-07-15,3512.28
1219,2021-08-15,3473.93
1220,2021-09-15,3255.38
1221,2021-10-15,3573.14
1222,2021-11-15,3530.75
1223,2021-12-15,3597.09
1224,2022-01-15,3524.49
1225,2022-02-15,3168.51
1226,2022-03-15,3623.29
1227,2022-04-15,3488.49
