,basins,period,value,size
322,TEXAS,2022-01-01,4853,48.53
407,TEXAS,2021-12-01,4991,49.91
694,TEXAS,2021-08-01,4865,48.65
903,TEXAS,2021-06-01,4782,47.82
971,TEXAS,2021-05-01,4806,48.06
1047,TEXAS,2021-04-01,4837,48.37
1133,TEXAS,2021-03-01,4728,47.28
1327,TEXAS,2021-01-01,4661,46.61
1427,TEXAS,2020-12-01,4638,46.38
3001,TEXAS,2019-05-01,5000,50.0
3139,TEXAS,2019-03-01,4863,48.63
3316,TEXAS,2019-01-01,4793,47.93
3381,TEXAS,2018-12-01,4849,48.49
3489,TEXAS,2018-11-01,4796,47.96
3611,TEXAS,2018-10-01,4685,46.85
3642,TEXAS,2018-09-01,4662,46.62
4948,TEXAS,2017-06-01,3434,34.34
40,TEXAS,2017-05-01,3401,34.01
860,TEXAS,2016-07-01,3138,31.38
1864,TEXAS,2015-07-01,3442,34.42
1993,TEXAS,2015-06-01,3454,34.54
2052,TEXAS,2015-05-01,3507,35.07
2580,TEXAS,2014-11-01,3450,34.5
2687,TEXAS,2014-10-01,3360,33.6
2986,TEXAS,2014-06-01,3144,31.44
3611,TEXAS,2013-11-01,2696,26.96
199,TEXAS,2012-04-01,1871,18.71
292,TEXAS,2012-03-01,1801,18.01
558,TEXAS,2011-12-01,1690,16.9
1165,TEXAS,2011-05-01,1393,13.93
1313,TEXAS,2011-03-01,1337,13.37
2505,TEXAS,2010-01-01,1099,10.99
2581,TEXAS,2009-12-01,1091,10.91
2952,TEXAS,2009-07-01,1063,10.63
3050,TEXAS,2009-06-01,1071,10.71
4467,TEXAS,2008-01-01,1094,10.94
4598,TEXAS,2007-12-01,1087,10.87
